Date Time,PM2.5 ug/m3(L)
00:00 9/10/2020,23.3
01:00 9/10/2020,21.7
02:00 9/10/2020,20.8
03:00 9/10/2020,20.6
04:00 9/10/2020,22.6
05:00 9/10/2020,23.5
06:00 9/10/2020,24.6
07:00 9/10/2020,25.9
08:00 9/10/2020,25.8
09:00 9/10/2020,36.7
10:00 9/10/2020,88.8
11:00 9/10/2020,97.9
12:00 9/10/2020,103.5
13:00 9/10/2020,153.7
14:00 9/10/2020,259.6
15:00 9/10/2020,346.6
16:00 9/10/2020,319.4
17:00 9/10/2020,283.3
18:00 9/10/2020,255.8
19:00 9/10/2020,269.6
20:00 9/10/2020,297.3
21:00 9/10/2020,319.6
22:00 9/10/2020,318.5
23:00 9/10/2020,319.5
00:00 9/11/2020,306.1
01:00 9/11/2020,298.8
02:00 9/11/2020,295.3
03:00 9/11/2020,290
04:00 9/11/2020,282
05:00 9/11/2020,275
06:00 9/11/2020,268.3
07:00 9/11/2020,262.1
08:00 9/11/2020,256.4
09:00 9/11/2020,252.8
10:00 9/11/2020,195.5
11:00 9/11/2020,207.2
12:00 9/11/2020,219.4
13:00 9/11/2020,248
14:00 9/11/2020,216.1
15:00 9/11/2020,203.3
16:00 9/11/2020,214.7
17:00 9/11/2020,227.4
18:00 9/11/2020,226
19:00 9/11/2020,220.8
20:00 9/11/2020,215.1
21:00 9/11/2020,213.5
22:00 9/11/2020,210.1
23:00 9/11/2020,205
00:00 9/12/2020,201.7
01:00 9/12/2020,200.1
02:00 9/12/2020,200
03:00 9/12/2020,197.9
04:00 9/12/2020,196.8
05:00 9/12/2020,191.6
06:00 9/12/2020,182.1
07:00 9/12/2020,210.1
08:00 9/12/2020,234.1
09:00 9/12/2020,243.3
10:00 9/12/2020,253.5
11:00 9/12/2020,278.3
12:00 9/12/2020,291.5
13:00 9/12/2020,305.3
14:00 9/12/2020,324.7
15:00 9/12/2020,320.3
16:00 9/12/2020,356.5
17:00 9/12/2020,411.3
18:00 9/12/2020,505.3
19:00 9/12/2020,539.1
20:00 9/12/2020,542.5
21:00 9/12/2020,539.2
22:00 9/12/2020,536.2
23:00 9/12/2020,532.5
00:00 9/13/2020,529
01:00 9/13/2020,525.8
02:00 9/13/2020,523.3
03:00 9/13/2020,519
04:00 9/13/2020,518.4
05:00 9/13/2020,509.9
06:00 9/13/2020,455.2
07:00 9/13/2020,351.2
08:00 9/13/2020,310.6
09:00 9/13/2020,316.9
10:00 9/13/2020,334.9
11:00 9/13/2020,369.4
12:00 9/13/2020,404.6
13:00 9/13/2020,419.5
14:00 9/13/2020,414.2
15:00 9/13/2020,474.5
16:00 9/13/2020,516.1
17:00 9/13/2020,509.1
18:00 9/13/2020,513.2
19:00 9/13/2020,520.7
20:00 9/13/2020,535.2
21:00 9/13/2020,536.5
