"Station Name: Portland SE Lafayette, Type: Average, Timebase: 60 Minute Timebase, Period: 11/30/2020 23:59 - 9/1/2020 00:00",,,,,,,
,,,,,,,
Date Time,PM2.5,,,,,,
,ug/m3(L),,,,,,
00:00 9/1/2020,3.8,,,,,,
01:00 9/1/2020,3.8,,,,,,
02:00 9/1/2020,3.7,,,,,,
03:00 9/1/2020,3.8,,,,,,
04:00 9/1/2020,3.9,,,,,,
05:00 9/1/2020,4.3,,,,,,
06:00 9/1/2020,4.6,,,,,,
07:00 9/1/2020,4.6,,,,,,
08:00 9/1/2020,4.3,,,,,,
09:00 9/1/2020,4.3,,,,,,
10:00 9/1/2020,4.3,,,,,,
11:00 9/1/2020,4.1,,,,,,
12:00 9/1/2020,3.7,,,,,,
13:00 9/1/2020,3.6,,,,,,
14:00 9/1/2020,3.8,,,,,,
15:00 9/1/2020,3.6,,,,,,
16:00 9/1/2020,3.2,,,,,,
17:00 9/1/2020,3.2,,,,,,
18:00 9/1/2020,3.3,,,,,,
19:00 9/1/2020,4.2,,,,,,
20:00 9/1/2020,3.7,,,,,,
21:00 9/1/2020,3.3,,,,,,
22:00 9/1/2020,3.4,,,,,,
23:00 9/1/2020,3,,,,,,
00:00 9/2/2020,3,,,,,,
01:00 9/2/2020,3.2,,,,,,
02:00 9/2/2020,3.4,,,,,,
03:00 9/2/2020,3.3,,,,,,
04:00 9/2/2020,3.4,,,,,,
05:00 9/2/2020,3.8,,,,,,
06:00 9/2/2020,4.8,,,,,,
07:00 9/2/2020,5.3,,,,,,
08:00 9/2/2020,5.6,,,,,,
09:00 9/2/2020,4.8,,,,,,
10:00 9/2/2020,4.8,,,,,,
11:00 9/2/2020,4.7,,,,,,
12:00 9/2/2020,3.6,,,,,,
13:00 9/2/2020,2.6,,,,,,
14:00 9/2/2020,1.9,,,,,,
15:00 9/2/2020,1.9,,,,,,
16:00 9/2/2020,1.7,,,,,,
17:00 9/2/2020,1.6,,,,,,
18:00 9/2/2020,1.9,,,,,,
19:00 9/2/2020,2.4,,,,,,
20:00 9/2/2020,2.1,,,,,,
21:00 9/2/2020,1.9,,,,,,
22:00 9/2/2020,2,,,,,,
23:00 9/2/2020,2.1,,,,,,
00:00 9/3/2020,2,,,,,,
01:00 9/3/2020,2.2,,,,,,
02:00 9/3/2020,2.6,,,,,,
03:00 9/3/2020,2.9,,,,,,
04:00 9/3/2020,3.3,,,,,,
05:00 9/3/2020,3.3,,,,,,
06:00 9/3/2020,3.5,,,,,,
07:00 9/3/2020,4,,,,,,
08:00 9/3/2020,4.1,,,,,,
09:00 9/3/2020,4.2,,,,,,
10:00 9/3/2020,4.2,,,,,,
11:00 9/3/2020,3.8,,,,,,
12:00 9/3/2020,3.8,,,,,,
13:00 9/3/2020,3.1,,,,,,
14:00 9/3/2020,3.4,,,,,,
15:00 9/3/2020,3.8,,,,,,
16:00 9/3/2020,3.9,,,,,,
17:00 9/3/2020,3.3,,,,,,
18:00 9/3/2020,3.2,,,,,,
19:00 9/3/2020,3.5,,,,,,
20:00 9/3/2020,3.3,,,,,,
21:00 9/3/2020,3.1,,,,,,
22:00 9/3/2020,3.5,,,,,,
23:00 9/3/2020,4.7,,,,,,
00:00 9/4/2020,3.2,,,,,,
01:00 9/4/2020,3.3,,,,,,
02:00 9/4/2020,3.7,,,,,,
03:00 9/4/2020,4.2,,,,,,
04:00 9/4/2020,4,,,,,,
05:00 9/4/2020,4.6,,,,,,
06:00 9/4/2020,6,,,,,,
07:00 9/4/2020,7.4,,,,,,
08:00 9/4/2020,8,,,,,,
09:00 9/4/2020,8.5,,,,,,
10:00 9/4/2020,8.7,,,,,,
11:00 9/4/2020,9.4,,,,,,
12:00 9/4/2020,9.6,,,,,,
13:00 9/4/2020,9.6,,,,,,
14:00 9/4/2020,9,,,,,,
15:00 9/4/2020,9.3,,,,,,
16:00 9/4/2020,9.9,,,,,,
17:00 9/4/2020,8.9,,,,,,
18:00 9/4/2020,8.9,,,,,,
19:00 9/4/2020,6.2,,,,,,
20:00 9/4/2020,6.5,,,,,,
21:00 9/4/2020,9.1,,,,,,
